Rumah,Latitude,Longitude,pH,EC,TDS
LP1,-6.911565191,107.7753386,4.8,0.33,246
LP2,-6.909919919,107.7739089,4.1,0.42,306
LP3,-6.911622602,107.7752822,4.6,0.37,270
LP4,-6.923259731,107.7795163,5.4,0.43,312
LP5,-6.909740587,107.7778903,5.1,0.25,176
LP6,-6.916611099,107.7798407,6,0.2,150
LP7,-6.910824901,107.7749794,5.1,0.12,97
LP8,-6.909882827,107.7765116,5.4,0.25,189
LP9,-6.909530094,107.778348,5.3,0.31,224
LP10,-6.909208049,107.7743476,4.5,0.11,85
LP11,-6.914132792,107.780042,5.2,0.16,122
LP12,-6.914351562,107.7799395,4.9,0.19,157
LP13,-6.909945056,107.7739756,3.8,0.39,286
LP14,-6.906786676,107.7813997,4.9,0.15,120
LP15,-6.91197908,107.7794331,5,0.31,227
LP16,-6.911089366,107.7802174,5.4,0.19,149
